(base) imduvvuri@Prashanths-MacBook-Pro scalar-autograd % /usr/local/bin/python3 /Users/imduvvuri/Documents/Purpose/scalar-autograd/nn.py
epoch =  0 loss =  Value (data = 9.95350011535432, grad = 0.0, label = , hash = 269225457)
epoch =  1 loss =  Value (data = 3.2530834349947417, grad = 0.0, label = , hash = 269247185)
epoch =  2 loss =  Value (data = 1.8691364239408914, grad = 0.0, label = , hash = 269388721)
epoch =  3 loss =  Value (data = 1.1617948767344164, grad = 0.0, label = , hash = 269240365)
epoch =  4 loss =  Value (data = 0.7439787873636821, grad = 0.0, label = , hash = 269402757)
epoch =  5 loss =  Value (data = 0.5139544776663335, grad = 0.0, label = , hash = 269423461)
epoch =  6 loss =  Value (data = 0.3967045343166775, grad = 0.0, label = , hash = 269220709)
epoch =  7 loss =  Value (data = 0.33698915678341307, grad = 0.0, label = , hash = 269241317)
epoch =  8 loss =  Value (data = 0.3026037839218548, grad = 0.0, label = , hash = 270032537)
epoch =  9 loss =  Value (data = 0.27845719637918087, grad = 0.0, label = , hash = 269247169)
epoch =  10 loss =  Value (data = 0.25851501418822603, grad = 0.0, label = , hash = 269220441)
epoch =  11 loss =  Value (data = 0.24060329825635635, grad = 0.0, label = , hash = 270066637)
epoch =  12 loss =  Value (data = 0.2239765686585382, grad = 0.0, label = , hash = 269220777)
epoch =  13 loss =  Value (data = 0.20837343689388638, grad = 0.0, label = , hash = 269246537)
epoch =  14 loss =  Value (data = 0.19368824197095239, grad = 0.0, label = , hash = 270108433)
epoch =  15 loss =  Value (data = 0.17986409625049854, grad = 0.0, label = , hash = 270130161)
epoch =  16 loss =  Value (data = 0.16685949947842346, grad = 0.0, label = , hash = 269246797)
epoch =  17 loss =  Value (data = 0.15463809774733017, grad = 0.0, label = , hash = 269220021)
epoch =  18 loss =  Value (data = 0.14316558899809767, grad = 0.0, label = , hash = 270875673)
epoch =  19 loss =  Value (data = 0.1324087565288941, grad = 0.0, label = , hash = 269241117)
epoch =  20 loss =  Value (data = 0.12233516473199495, grad = 0.0, label = , hash = 270102309)
epoch =  21 loss =  Value (data = 0.11291305209107183, grad = 0.0, label = , hash = 270898629)
epoch =  22 loss =  Value (data = 0.10411130014382089, grad = 0.0, label = , hash = 270093465)
epoch =  23 loss =  Value (data = 0.09589943024216036, grad = 0.0, label = , hash = 269225441)
epoch =  24 loss =  Value (data = 0.08824761842508524, grad = 0.0, label = , hash = 270991977)
epoch =  25 loss =  Value (data = 0.08112671946819919, grad = 0.0, label = , hash = 269235133)
epoch =  26 loss =  Value (data = 0.07450829820350954, grad = 0.0, label = , hash = 270108425)
epoch =  27 loss =  Value (data = 0.06836466428344526, grad = 0.0, label = , hash = 271025625)
epoch =  28 loss =  Value (data = 0.06266890887479949, grad = 0.0, label = , hash = 270107709)
epoch =  29 loss =  Value (data = 0.0573949409551939, grad = 0.0, label = , hash = 269235045)
epoch =  30 loss =  Value (data = 0.052517521954868696, grad = 0.0, label = , hash = 273747885)
epoch =  31 loss =  Value (data = 0.04801229728406489, grad = 0.0, label = , hash = 269402717)
epoch =  32 loss =  Value (data = 0.04385582388451956, grad = 0.0, label = , hash = 269402413)
epoch =  33 loss =  Value (data = 0.04002559298348824, grad = 0.0, label = , hash = 269220229)
epoch =  34 loss =  Value (data = 0.036500047605251155, grad = 0.0, label = , hash = 269247469)
epoch =  35 loss =  Value (data = 0.03325859450869487, grad = 0.0, label = , hash = 269402301)
epoch =  36 loss =  Value (data = 0.030281610469315125, grad = 0.0, label = , hash = 273776205)
epoch =  37 loss =  Value (data = 0.027550442938719298, grad = 0.0, label = , hash = 273793837)
Value (data = 1.070933698225609, grad = 0.0, label = , hash = 273799749)
Value (data = -0.9814803459110297, grad = 0.0, label = , hash = 273747285)
Value (data = -0.990194908736727, grad = 0.0, label = , hash = 273747813)
Value (data = 0.86008324499201, grad = 0.0, label = , hash = 269225265)
